,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,,
126,12348,1.27,0.073657775,0.002472222,1.196342225,1.267527778,-0.076036729,1.43123472,1.606626667,,,
127,12349,-0.62,0.032177174,0.007055556,-0.652177174,-0.627055556,-0.075735991,0.425335066,0.39319867,,,
128,12352,-0.17,-0.208200906,0.003777778,0.038200906,-0.173777778,-0.075316835,0.001459309,0.030198716,,,
129,12353,0.65,-0.09111431,0.004138889,0.74111431,0.645861111,-0.075407104,0.54925042,0.417136575,,,
130,12354,-0.9,0.273848723,0.006,-1.173848723,-0.906,-0.077014157,1.377920825,0.820836,,,
131,12355,-1.08,-0.08482203,0.000277778,-0.99517797,-1.080277778,-0.075665835,0.990379191,1.167000077,,,
132,12356,-0.76,0.115692679,-0.006944444,-0.875692679,-0.753055556,-0.075962909,0.766837669,0.56709267,,,
133,12359,-0.29,0.119613649,-0.010583333,-0.409613649,-0.279416667,-0.075993102,0.167783341,0.078073674,,,
134,12360,1.23,0.137162012,-0.006638889,1.092837988,1.236638889,-0.073970686,1.194294867,1.529275742,,,
135,12361,-1.29,0.209009751,0.001805556,-1.499009751,-1.291805556,-0.07535044,2.247030234,1.668761593,,,
136,12362,1.85,-0.203845726,-0.00725,2.053845726,1.85725,-0.076857774,4.218282267,3.449377563,,,
137,12363,-1,-0.226744784,-0.00425,-0.773255216,-0.99575,-0.074852633,0.597923629,0.991518063,,,
138,12366,0.41,0.420115602,-0.003055556,-0.010115602,0.413055556,-0.073914805,0.000102325,0.170614892,,,
139,12367,-0.8,-0.052768562,-2.59E-18,-0.747231438,-0.8,-0.073171781,0.558354822,0.64,,,
140,12368,-0.06,-0.133146085,0.001277778,0.073146085,-0.061277778,-0.07291464,0.00535035,0.003754966,,,
141,12369,-2,0.277733225,0.000555556,-2.277733225,-2.000555556,-0.075719413,5.188068644,4.002222531,,,
142,12370,0.99,0.490896763,-0.003388889,0.499103237,0.993388889,-0.072602932,0.249104041,0.986821485,,,
143,12373,0.39,0.352661588,0.001138889,0.037338412,0.388861111,-0.071786855,0.001394157,0.151212964,,,
144,12374,0.22,0.097268034,-0.003638889,0.122731966,0.223638889,-0.071402688,0.015063135,0.050014353,,,
145,12375,1.96,-0.29522029,-0.004861111,2.25522029,1.964861111,-0.07432275,5.086018555,3.860679186,,,
146,12376,0.89,-0.547270041,-0.001083333,1.437270041,0.891083333,-0.078138891,2.065745171,0.794029507,,,
147,12377,0.23,-0.075521155,-0.000944444,0.305521155,0.230944444,-0.077991779,0.093343176,0.053335336,,,
148,12380,1.12,0.11086493,-0.007361111,1.00913507,1.127361111,-0.07653806,1.018353589,1.270943075,,,
149,12381,0.15,0.349245037,-0.0075,-0.199245037,0.1575,-0.076323441,0.039698585,0.02480625,,,
150,12382,-0.2,-0.111369202,-0.005027778,-0.088630798,-0.194972222,-0.075958777,0.007855418,0.038014167,,,
151,12384,-0.2,0.105079035,-0.005138889,-0.305079035,-0.194861111,-0.075878007,0.093073218,0.037970853,,,
152,12387,-0.96,-0.174591808,-0.0055,-0.785408192,-0.9545,-0.074422957,0.616866029,0.91107025,,,
153,12388,0.63,0.156018046,-0.006777778,0.473981954,0.636777778,-0.073484436,0.224658892,0.405485938,,,
154,12389,-0.11,-0.247498217,-0.00075,0.137498217,-0.10925,-0.073265042,0.01890576,0.011935563,,,
155,12390,0.87,0.038123763,0.004472222,0.831876237,0.865527778,-0.072652532,0.692018074,0.749138334,,,
156,12391,0.11,-0.164365875,0.001777778,0.274365875,0.108222222,-0.072621058,0.075276634,0.011712049,,,
157,12394,-0.11,0.216069231,-0.000194444,-0.326069231,-0.109805556,-0.072688901,0.106321143,0.01205726,,,
158,12395,0.07,0.479922515,0.004194444,-0.409922515,0.065805556,-0.072980931,0.168036468,0.004330371,,,
159,12396,-0.27,-0.263076201,0.0055,-0.006923799,-0.2755,-0.072490111,4.79E-05,0.07590025,,,
160,12397,-0.93,0.165824478,0.004222222,-1.095824478,-0.934222222,-0.073083146,1.200831287,0.87277116,,,
161,12398,1.36,-0.202232216,-0.002333333,1.562232216,1.362333333,-0.074224137,2.440569496,1.855952111,,,
162,12401,0.42,-0.118743471,0.001916667,0.538743471,0.418083333,-0.074310661,0.290244527,0.174793674,,,
163,12402,-0.35,-0.065528395,0.001027778,-0.284471605,-0.351027778,-0.073919862,0.080924094,0.123220501,,,
164,12403,0.52,0.122636983,-0.002638889,0.397363017,0.522638889,-0.073268912,0.157897367,0.273151408,,,
165,12404,0.12,-0.246831215,-0.001944444,0.366831215,0.121944444,-0.073412292,0.134565141,0.014870448,,,
166,12405,-0.84,-0.273456951,-0.002027778,-0.566543049,-0.837972222,-0.071845905,0.320971027,0.702197445,,,
167,12408,-0.35,-0.034009071,-0.007916667,-0.315990929,-0.342083333,-0.071549525,0.099850267,0.117021007,,,
168,12409,-0.24,0.42450362,-0.010333333,-0.66450362,-0.229666667,-0.072510146,0.441565061,0.052746778,,,
169,12410,-0.39,0.438424196,-0.010944444,-0.828424196,-0.379055556,-0.073908138,0.686286649,0.143683114,,,
170,12412,0.67,0.088827112,-0.016083333,0.581172888,0.686083333,-0.073172181,0.337761926,0.47071034,,,
171,12415,-0.15,-0.030292332,-0.015888889,-0.119707668,-0.134111111,-0.072942491,0.014329926,0.01798579,,,
172,12416,0.07,0.1113478,-0.01825,-0.0413478,0.08825,-0.072709976,0.001709641,0.007788063,,,
173,12417,0.61,0.060834735,-0.022916667,0.549165265,0.632916667,-0.072105939,0.301582488,0.400583507,,,
174,12419,-0.08,0.189834109,-0.023472222,-0.269834109,-0.056527778,-0.072105407,0.072810446,0.00319539,,,
175,12422,2.41,-0.669390522,-0.025527778,3.079390522,2.435527778,-0.080833229,9.482645985,5.931795556,,,
176,12423,1.14,-0.342279022,-0.023083333,1.482279022,1.163083333,-0.082680048,2.197151099,1.35276284,,,
177,12424,0.54,-0.039194538,-0.020111111,0.579194538,0.560111111,-0.082426807,0.335466312,0.313724457,,,
178,12425,0.07,0.24767055,-0.021222222,-0.17767055,0.091222222,-0.082258946,0.031566824,0.008321494,,,
179,12426,0.05,0.2405698,-0.021611111,-0.1905698,0.071611111,-0.08211603,0.036316849,0.005128151,,,
180,12429,-1.06,0.092177355,-0.025583333,-1.152177355,-1.034416667,-0.082339558,1.327512657,1.07001784,,,
181,12430,0.19,-0.081920853,-0.032194444,0.271920853,0.222194444,-0.082168191,0.07394095,0.049370371,,,
182,12431,-0.57,-0.173675233,-0.036111111,-0.396324767,-0.533888889,-0.081510947,0.157073321,0.285037346,,,
183,12432,1.24,-0.161913515,-0.036027778,1.401913515,1.276027778,-0.0818157,1.965361505,1.62824689,,,
184,12433,0.16,0.004993473,-0.03475,0.155006527,0.19475,-0.081545027,0.024027023,0.037927563,,,
185,12437,-0.26,0.198928814,-0.039166667,-0.458928814,-0.220833333,-0.081759141,0.210615656,0.048767361,,,
186,12438,0.23,0.062645141,-0.039805556,0.167354859,0.269805556,-0.081397474,0.028007649,0.072795038,,,
187,12439,0.81,-0.20541055,-0.034361111,1.01541055,0.844361111,-0.081873515,1.031058586,0.712945686,,,
188,12440,-0.17,0.519304202,-0.030222222,-0.689304202,-0.139777778,-0.082894013,0.475140283,0.019537827,,,
189,12443,0.15,0.014111546,-0.030083333,0.135888454,0.180083333,-0.082628248,0.018465672,0.032430007,,,
190,12444,1.72,0.015719852,-0.030833333,1.704280148,1.750833333,-0.081216349,2.904570824,3.065417361,,,
191,12445,0.86,0.122610371,-0.027138889,0.737389629,0.887138889,-0.080161034,0.543743464,0.787015408,,,
192,12446,0.35,-0.839368472,-0.017361111,1.189368472,0.367361111,-0.083333124,1.414597361,0.134954186,,,
193,12447,-0.33,0.363893202,-0.015305556,-0.693893202,-0.314694444,-0.084107412,0.481487775,0.099032593,,,
194,12450,0.71,-0.756806054,-0.021611111,1.466806054,0.731611111,-0.088017644,2.15152,0.535254818,,,
195,12451,1.07,-0.213180723,-0.022111111,1.283180723,1.092111111,-0.08867063,1.646552767,1.192706679,,,
196,12452,0.32,-0.144824207,-0.0225,0.464824207,0.3425,-0.088670981,0.216061543,0.11730625,,,
197,12453,0.69,0.093592928,-0.023888889,0.596407072,0.713888889,-0.087914885,0.355701395,0.509637346,,,
198,12454,1.72,0.097709361,-0.020888889,1.622290639,1.740888889,-0.085903477,2.631826916,3.030694123,,,
199,12457,0.28,-0.314861802,-0.014472222,0.594861802,0.294472222,-0.086350591,0.353860563,0.08671389,,,
200,12458,-0.1,-0.000917505,-0.015611111,-0.099082495,-0.084388889,-0.086139576,0.009817341,0.007121485,,,
201,12459,-0.63,-0.058613948,-0.015805556,-0.571386052,-0.614194444,-0.085703146,0.326482021,0.377234816,,,
202,12460,1.1,0.025719198,-0.014138889,1.074280802,1.114138889,-0.084968256,1.154079242,1.241305464,,,
203,12461,0.09,-0.06338455,-0.009333333,0.15338455,0.099333333,-0.08479085,0.02352682,0.009867111,,,
204,12465,0.61,-0.114319137,-0.003916667,0.724319137,0.613916667,-0.08486433,0.524638212,0.376893674,,,
205,12466,-0.02,-0.588914484,5.56E-05,0.568914484,-0.020055556,-0.085468152,0.323663691,0.000402225,,,
206,12467,0.33,-0.114838792,-0.003361111,0.444838792,0.333361111,-0.08545065,0.197881551,0.11112963,,,
207,12468,0.86,0.292894792,-0.006083333,0.567105208,0.866083333,-0.08399636,0.321608317,0.75010034,,,
208,12471,0.25,-0.589916949,-0.006,0.839916949,0.256,-0.085368502,0.705460482,0.065536,,,
209,12472,-0.93,0.233135941,-0.00875,-1.163135941,-0.92125,-0.086206584,1.352885217,0.848701563,,,
210,12473,-1.08,-0.805346008,-0.011166667,-0.274653992,-1.068833333,-0.083105187,0.075434816,1.142404694,,,
211,12474,-1.38,0.00856591,-0.015388889,-1.38856591,-1.364611111,-0.082642737,1.928115286,1.862163485,,,
212,12475,0.04,-0.150830286,-0.023944444,0.190830286,0.063944444,-0.082525471,0.036416198,0.004088892,,,
213,12478,-0.4,0.245189821,-0.025666667,-0.645189821,-0.374333333,-0.082970848,0.416269905,0.140125444,,,
214,12479,0.52,-0.083417197,-0.023694444,0.603417197,0.543694444,-0.082875453,0.364112313,0.295603649,,,
215,12480,-0.87,-0.02420609,-0.018666667,-0.84579391,-0.851333333,-0.082495799,0.715367338,0.724768444,,,
216,12481,0.38,-0.411728236,-0.01425,0.791728236,0.39425,-0.083402689,0.6268336,0.155433063,,,
217,12482,-1.25,-0.88935217,-0.008527778,-0.36064783,-1.241472222,-0.07948749,0.130066857,1.541253279,,,
218,12485,-0.08,0.364328571,-0.017888889,-0.444328571,-0.062111111,-0.079766717,0.197427879,0.00385779,,,
219,12486,0.17,-0.206346664,-0.010944444,0.376346664,0.180944444,-0.079836838,0.141636812,0.032740892,,,
220,12487,0.24,0.378747265,-0.006916667,-0.138747265,0.246916667,-0.079542843,0.019250804,0.06096784,,,
221,12488,0.58,0.454216668,-0.011611111,0.125783332,0.591611111,-0.07849515,0.015821447,0.350003707,,,
222,12489,0.61,-0.162458763,-0.00925,0.772458763,0.61925,-0.078740885,0.596692541,0.383470563,,,
223,12492,-0.11,-0.165569935,-0.007277778,0.055569935,-0.102722222,-0.078544301,0.003088018,0.010551855,,,
224,12493,1.04,0.134899806,0.000833333,0.905100194,1.039166667,-0.077529356,0.819206361,1.079867361,,,
225,12494,-0.73,-0.079367331,0.004555556,-0.650632669,-0.734555556,-0.076972934,0.42332287,0.539571864,,,
226,12495,0.89,0.359420836,0.002861111,0.530579164,0.887138889,-0.075462217,0.281514249,0.787015408,,,
227,12496,-0.57,0.05170762,-0.000416667,-0.62170762,-0.569583333,-0.075375033,0.386520365,0.324425174,,,
228,12499,0.99,0.060375981,-0.002416667,0.929624019,0.992416667,-0.074733239,0.864200818,0.98489084,,,
229,12500,0.23,0.115135456,-0.006166667,0.114864544,0.236166667,-0.074460464,0.013193864,0.055774694,,,
230,12501,0.03,0.187960877,-0.008,-0.157960877,0.038,-0.07435233,0.024951639,0.001444,,,
231,12502,1.21,-0.090598325,-0.008583333,1.300598325,1.218583333,-0.074373986,1.691556002,1.48494534,,,
232,12503,0.88,-0.192253348,-0.007333333,1.072253348,0.887333333,-0.07488666,1.149727241,0.787360444,,,
233,12506,0.28,-0.420614005,-0.010055556,0.700614005,0.290055556,-0.075633925,0.490859984,0.084132225,,,
234,12507,0.71,0.000293421,-0.012583333,0.709706579,0.722583333,-0.075327532,0.503683428,0.522126674,,,
235,12508,0.34,0.166737656,-0.008444444,0.173262344,0.348444444,-0.074936811,0.03001984,0.121413531,,,
236,12509,-0.33,0.098758187,-0.008222222,-0.428758187,-0.321777778,-0.074938679,0.183833583,0.103540938,,,
237,12510,-1.01,0.267189701,-0.007138889,-1.277189701,-1.002861111,-0.075987543,1.631213534,1.005730408,,,
238,12513,-0.02,-0.54914761,-0.009722222,0.52914761,-0.010277778,-0.076453222,0.279997193,0.000105633,,,
239,12514,0.51,0.31294031,-0.004555556,0.19705969,0.514555556,-0.075737411,0.038832522,0.26476742,,,
240,12515,-0.64,-0.461669174,-0.003638889,-0.178330826,-0.636361111,-0.074670838,0.031801883,0.404955464,,,
