,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,,,
116,474,-0.22,-0.654934449,0.050058824,0.434934449,-0.270058824,-0.106271114,0.189167975,0.072931768,,,,
117,475,0.05,0.405763962,0.050764706,-0.355763962,-0.000764706,-0.106607095,0.126567997,5.85E-07,,,,
118,476,0.39,0.942036872,0.051941176,-0.552036872,0.338058824,-0.107205896,0.304744708,0.114283768,,,,
119,477,0.44,0.608803266,0.049705882,-0.168803266,0.390294118,-0.105815472,0.028494543,0.152329498,,,,
120,480,0.77,1.025929983,0.049352941,-0.255929983,0.720647059,-0.102006905,0.065500156,0.519332183,,,,
121,481,0.24,-0.423540714,0.055117647,0.663540714,0.184882353,-0.104027721,0.440286279,0.034181484,,,,
122,482,0.23,0.179981914,0.057117647,0.050018086,0.172882353,-0.103401376,0.002501809,0.029888308,,,,
123,483,-0.65,-0.077460841,0.052764706,-0.572539159,-0.702764706,-0.101443847,0.327801088,0.493878232,,,,
124,484,-0.49,-0.460434635,0.049823529,-0.029565365,-0.539823529,-0.098983397,0.000874111,0.291409443,,,,
125,487,0.53,0.728758404,0.049529412,-0.198758404,0.480470588,-0.097205996,0.039504903,0.230851986,,,,
126,488,-0.25,-0.329624396,0.049911765,0.079624396,-0.299911765,-0.096230991,0.006340044,0.089947067,,,,
127,489,-0.14,0.131890909,0.046441176,-0.271890909,-0.186441176,-0.09604876,0.073924666,0.034760312,,,,
128,490,-0.32,-1.391432678,0.043352941,1.071432678,-0.363352941,-0.101504881,1.147967982,0.13202536,,,,
129,491,-0.63,0.576343675,0.040941176,-1.206343675,-0.670941176,-0.106447477,1.455265063,0.450162062,,,,
130,494,-0.08,-0.041088199,0.041676471,-0.038911801,-0.121676471,-0.105945282,0.001514128,0.014805163,,,,
131,495,0.28,1.070085128,0.040794118,-0.790085128,0.239205882,-0.108704117,0.62423451,0.057219454,,,,
