,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,,
72,12271,-0.39,0.105841045,0.169055556,-0.495841045,-0.559055556,-0.084363554,0.245858341,0.312543114,,,
73,12272,-0.38,0.064497283,0.16625,-0.444497283,-0.54625,-0.082933642,0.197577835,0.298389063,,,
74,12275,1.11,-0.244164585,0.163722222,1.354164585,0.946277778,-0.08802252,1.833761723,0.895441633,,,
75,12276,0.91,0.331280198,0.165277778,0.578719802,0.744722222,-0.085672255,0.334916609,0.554611188,,,
76,12277,-1.6,-0.042644413,0.165527778,-1.557355587,-1.765527778,-0.0789434,2.425356426,3.117088334,,,
77,12278,-0.36,0.112744971,0.163694444,-0.472744971,-0.523694444,-0.077966318,0.223487808,0.274255871,,,
78,12279,2.99,-0.14357455,0.162972222,3.13357455,2.827027778,-0.08453424,9.819289463,7.992086056,,,
79,12282,-0.25,0.242850775,0.171583333,-0.492850775,-0.421583333,-0.084292043,0.242901887,0.177732507,,,
80,12283,-0.74,0.321381393,0.171972222,-1.061381393,-0.911972222,-0.085066607,1.126530461,0.831693334,,,
81,12284,0.97,0.396674587,0.172916667,0.573325413,0.797083333,-0.082463719,0.32870203,0.63534184,,,
82,12285,0.02,0.104764491,0.172972222,-0.084764491,-0.152972222,-0.081855432,0.007185019,0.023400501,,,
83,12286,-0.74,-0.530956863,0.170472222,-0.209043137,-0.910472222,-0.076516513,0.043699033,0.828959667,,,
84,12289,1.9,0.494425587,0.167861111,1.405574413,1.732138889,-0.069058586,1.975639431,3.00030513,,,
85,12290,-0.43,0.004661717,0.171083333,-0.434661717,-0.601083333,-0.067555348,0.188930808,0.361301174,,,
86,12291,-0.51,0.196975538,0.1725,-0.706975538,-0.6825,-0.067174202,0.499814411,0.46580625,,,
87,12292,-0.1,0.389389799,0.172333333,-0.489389799,-0.272333333,-0.067663971,0.239502375,0.074165444,,,
88,12293,0.71,0.280699601,0.171666667,0.429300399,0.538333333,-0.066597304,0.184298833,0.289802778,,,
89,12297,0.63,0.704554929,0.173,-0.074554929,0.457,-0.065048079,0.005558437,0.208849,,,
90,12298,0.16,0.483081087,0.174111111,-0.323081087,-0.014111111,-0.065245051,0.104381389,0.000199123,,,
91,12299,0.54,-0.0849722,0.172388889,0.6249722,0.367611111,-0.066199009,0.390590251,0.135137929,,,
