,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,
135,12850,-0.75,0.2798314,-0.010888889,-1.0298314,-0.739111111,-0.111806708,1.060552712,0.546285235,,
136,12851,1.5,-0.098445352,-0.018916667,1.598445352,1.518916667,-0.111237688,2.555027544,2.30710784,,
137,12852,-1.3,0.913763902,-0.015722222,-2.213763902,-1.284277778,-0.121850327,4.900750613,1.64936941,,
138,12853,0.68,0.02767786,-0.014444444,0.65232214,0.694444444,-0.120969596,0.425524175,0.482253086,,
139,12856,-1.88,-0.046220395,-0.006555556,-1.833779605,-1.873444444,-0.118351302,3.362747638,3.509794086,,
140,12857,-0.76,0.163007643,-0.009222222,-0.923007643,-0.750777778,-0.11867908,0.851943109,0.563667272,,
141,12858,-2.01,-0.02373929,-0.011861111,-1.98626071,-1.998138889,-0.116301153,3.94523161,3.992559019,,
142,12859,1.45,-0.408453687,-0.015638889,1.858453687,1.465638889,-0.119402948,3.453850106,2.148097353,,
143,12860,0.07,-0.624614068,-0.010444444,0.694614068,0.080444444,-0.120589796,0.482488704,0.006471309,,
144,12863,0.07,-0.2529238,-0.016777778,0.3229238,0.086777778,-0.120492372,0.104279781,0.007530383,,
145,12864,0.97,0.035302845,-0.019527778,0.934697155,0.989527778,-0.119292659,0.873658772,0.979165223,,
146,12865,0.02,0.269373506,-0.017138889,-0.249373506,0.037138889,-0.119085277,0.062187146,0.001379297,,
147,12866,0.03,0.095139047,-0.019055556,-0.065139047,0.049055556,-0.118684582,0.004243096,0.002406448,,
148,12870,0.58,-0.805410388,-0.0235,1.385410388,0.6035,-0.123248808,1.919361944,0.36421225,,
149,12871,-0.82,0.001936192,-0.022333333,-0.821936192,-0.797666667,-0.122680126,0.675579104,0.636272111,,
150,12872,-0.39,0.215526206,-0.019277778,-0.605526206,-0.370722222,-0.122955841,0.366661986,0.137434966,,
151,12873,-0.34,-0.92416882,-0.019805556,0.58416882,-0.320194444,-0.123276262,0.34125321,0.102524482,,
152,12874,0.16,-0.237549828,-0.017444444,0.397549828,0.177444444,-0.123264601,0.158045866,0.031486531,,
153,12877,0.54,-0.091462214,-0.015277778,0.631462214,0.555277778,-0.1230154,0.398744528,0.30833341,,
154,12878,0.53,0.644430505,-0.008833333,-0.114430505,0.538833333,-0.121600452,0.013094341,0.290341361,,
155,12879,1.63,0.137833534,-0.002666667,1.492166466,1.632666667,-0.118674657,2.226560763,2.665600444,,
156,12880,0.77,-0.267406746,-0.006777778,1.037406746,0.776777778,-0.11953265,1.076212756,0.603383716,,
